Day fraction since midnight on 	photometer (mg/L)	Source pressure (Pa)	air valve control ()	Max calibration pressure (Pa)	source pressure (Pa)	Max calibration pressure ()	Delta P ()	air flow rate(R * T )/ V ()	Fill time (s)	air fill model (Pa)
0.488663068	35.29916763	113587.9688	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.488674517	35.6329689	113587.9688	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.488686089	35.79990768	113623.5781	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.488697666	36.07000351	113623.5781	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.488709349	36.29023361	113623.5781	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.488720809	36.57530975	113623.5781	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.488732387	36.85063171	113623.5781	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.488743953	37.11294937	113617.5	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.488755644	37.37507248	113617.5	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.488767209	37.58843994	113617.5	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.488778793	37.82394409	113617.5	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.488790366	38.03541183	113617.5	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.488801831	38.1835022	113627.9609	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.488813524	38.4070816	113627.9609	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.488825079	38.58560562	113627.9609	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.488836667	38.80836868	113627.9609	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.488848122	39.06019974	113627.9609	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.488859818	39.24676514	113623.1719	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.488871272	39.42121506	113623.1719	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.488882954	39.63500214	113623.1719	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.488894408	39.84029007	113623.1719	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.488906096	39.96842194	113623.1719	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.488917667	40.10231018	113633.3516	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.488929132	40.29443359	113633.3516	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.488940828	40.41427994	113633.3516	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
